Index X Y Z
390 -2.361500 7.507400 -0.644971
391 -2.342100 7.558200 -0.489471
392 -2.588000 7.894300 -0.436371
393 -2.595900 7.930000 -0.504971
394 -2.641000 7.984100 -0.375171
395 -2.613600 8.013400 -0.492171
396 -2.637100 8.131100 -0.524871
397 -2.632500 8.215300 -0.575671
398 -2.703600 8.173500 -0.440671
399 -2.646200 8.280600 -0.545471
400 -2.579100 10.718400 0.075329
401 -2.536500 10.755500 -0.084571
402 -2.565200 10.575500 -0.121971
403 -2.609900 10.545600 0.053229
404 -2.585200 10.410800 -0.154771
405 -2.631100 10.387600 0.033229
406 -2.478800 11.127800 0.127429
407 -2.444700 11.177200 0.004429
408 -2.494000 10.960200 -0.041471
409 -2.532800 10.916700 0.100529
410 -2.212700 8.064700 -1.575271
411 -2.211900 7.907700 -1.493571
412 -2.331900 7.942800 -1.333471
413 -2.333800 8.101200 -1.408571
414 -2.208700 7.749100 -1.375471
415 -2.325500 7.783700 -1.223471
416 -2.200500 7.604600 -1.236571
417 -2.310700 7.639100 -1.093571
418 -2.283600 7.524700 -0.954171
419 -2.357600 7.554000 -0.838671
420 -2.395600 7.672300 -0.950371
421 -2.252200 7.443600 -0.824971
422 -2.315000 7.470600 -0.743571
423 -2.252200 7.443600 -0.824971
424 -2.415800 7.587200 -0.740171
425 -2.279700 7.426700 -0.686371
426 -2.287500 7.443900 -0.619471
427 -2.252200 7.443600 -0.824971
428 -2.224300 7.399200 -0.728371
429 -2.252200 7.443600 -0.824971
430 -0.225800 10.380300 -2.255871
431 -0.172000 10.180000 -2.310071
432 -0.270600 10.590500 -2.196471
433 0.000000 10.574100 -2.314171
434 0.000000 10.373800 -2.365871
435 0.000000 10.181000 -2.407171
436 -0.271100 10.779500 -2.149371
437 -0.255100 10.994800 -2.083271
438 0.000000 10.966800 -2.170771
439 0.000000 10.753900 -2.255671
440 0.000000 10.753900 -2.255671
441 -0.249900 11.283800 -1.966371
442 -0.250200 11.609600 -1.824271
443 0.000000 11.609600 -1.886471
444 0.000000 11.266500 -2.040071
445 -2.186300 10.527700 -1.187571
446 -2.145800 10.720100 -1.097971
447 -2.264500 10.509900 -1.062671
448 -2.234200 10.705500 -0.960571
449 -2.197500 10.914000 -0.834271
450 -2.105400 10.938900 -0.970171
451 -2.070600 11.170200 -0.815771
452 -2.158900 11.137100 -0.684571
453 -2.119300 11.367600 -0.523171
454 -2.038500 11.407800 -0.648071
455 -2.221900 10.375300 -1.227771
456 -2.283800 10.325400 -1.139971
457 -2.488100 10.287800 -0.603871
458 -2.422200 10.300600 -0.807471
459 -2.548400 10.270800 -0.392671
460 -2.601400 10.252200 -0.184271
461 -2.648800 10.233500 0.014429
462 -1.051400 7.197600 -0.222471
463 -0.950900 7.276100 0.129529
464 -1.156000 7.336000 0.105729
465 -1.255900 7.257900 -0.200471
466 -0.840800 7.354400 0.511229
467 -1.048000 7.413000 0.434629
468 -1.243400 7.476400 0.358329
469 -1.348400 7.401400 0.084429
470 -1.447000 7.324400 -0.175771
471 -0.571000 7.094200 -0.260171
472 -0.488000 7.184400 0.161929
473 -0.725800 7.223200 0.150629
474 -0.830700 7.140200 -0.246071
475 -0.381300 7.278100 0.634229
476 -0.609500 7.308900 0.581829
477 0.000000 7.075300 -0.297571
478 0.000000 7.160100 0.142129
479 -0.245300 7.166900 0.156329
480 -0.299500 7.080200 -0.280971
481 0.000000 7.257000 0.663129
482 -0.183100 7.263500 0.656229
483 0.000000 7.257000 0.663129
484 -1.535900 7.471100 0.071029
485 -1.627700 7.400500 -0.144071
486 -1.439300 7.536100 0.288329
487 -1.621500 7.592400 0.226229
488 -1.703400 7.540300 0.061429
489 -1.784100 7.478800 -0.111671
490 -1.915400 7.697000 0.124929
491 -2.055400 7.748500 0.076529
492 -2.032400 7.710500 0.037729
493 -1.942500 7.661600 0.043629
494 -2.201700 7.821400 0.019329
495 -2.095000 7.696200 -0.035271
496 -2.000000 7.623600 -0.060271
497 -2.252000 7.731000 -0.139471
498 -2.342300 7.839800 -0.132671
499 -2.361000 7.937300 -0.055771
500 -2.753900 9.716500 0.360329
501 -2.753000 9.885300 0.365229
502 -2.717400 9.880800 0.173529
503 -2.725500 9.694200 0.159629
504 -2.747700 10.048300 0.369029
505 -2.707000 10.058000 0.186229
506 -2.703100 9.658600 0.026929
507 -2.703100 9.658600 0.026929
508 -2.692100 10.216300 0.196529
509 -2.733500 10.200000 0.370229
510 -2.713800 10.345500 0.370229
511 -2.673400 10.366100 0.205629
512 -2.651600 10.517500 0.215029
513 -2.691800 10.490300 0.370229
514 -2.660600 10.647800 0.370229
515 -2.620200 10.682700 0.225229
516 -2.572700 10.873900 0.236829
517 -2.613300 10.831400 0.370229
518 -2.557900 11.028100 0.370229
519 -2.517300 11.078100 0.249129
520 -2.165700 7.639700 -0.167071
521 -2.077200 7.558100 -0.207271
522 -1.862300 7.398800 -0.301271
